dnn_hidden_units : 100,300,100
batch_size : 200
eval_freq : 100
max_steps : 5000
data_dir : ./cifar10/cifar-10-batches-py
learning_rate : 0.002
iteration 100 | train acc/loss 0.285/2.273 | test acc/loss 0.276/2.109
iteration 200 | train acc/loss 0.395/1.776 | test acc/loss 0.344/1.817
iteration 300 | train acc/loss 0.365/1.810 | test acc/loss 0.378/1.717
iteration 400 | train acc/loss 0.395/1.553 | test acc/loss 0.405/1.662
iteration 500 | train acc/loss 0.495/1.472 | test acc/loss 0.437/1.595
iteration 600 | train acc/loss 0.500/1.400 | test acc/loss 0.436/1.585
iteration 700 | train acc/loss 0.425/1.497 | test acc/loss 0.442/1.587
iteration 800 | train acc/loss 0.475/1.469 | test acc/loss 0.454/1.551
iteration 900 | train acc/loss 0.415/1.477 | test acc/loss 0.452/1.546
iteration 1000 | train acc/loss 0.505/1.344 | test acc/loss 0.460/1.555
iteration 1100 | train acc/loss 0.555/1.401 | test acc/loss 0.467/1.544
iteration 1200 | train acc/loss 0.435/1.431 | test acc/loss 0.451/1.541
iteration 1300 | train acc/loss 0.535/1.398 | test acc/loss 0.465/1.556
iteration 1400 | train acc/loss 0.490/1.410 | test acc/loss 0.475/1.534
iteration 1500 | train acc/loss 0.455/1.494 | test acc/loss 0.475/1.529
iteration 1600 | train acc/loss 0.560/1.273 | test acc/loss 0.486/1.514
iteration 1700 | train acc/loss 0.530/1.210 | test acc/loss 0.472/1.547
iteration 1800 | train acc/loss 0.580/1.205 | test acc/loss 0.464/1.533
iteration 1900 | train acc/loss 0.515/1.365 | test acc/loss 0.475/1.538
iteration 2000 | train acc/loss 0.640/1.110 | test acc/loss 0.487/1.536
iteration 2100 | train acc/loss 0.605/1.087 | test acc/loss 0.486/1.540
iteration 2200 | train acc/loss 0.630/1.163 | test acc/loss 0.484/1.554
iteration 2300 | train acc/loss 0.550/1.211 | test acc/loss 0.479/1.533
iteration 2400 | train acc/loss 0.565/1.142 | test acc/loss 0.484/1.539
iteration 2500 | train acc/loss 0.580/1.075 | test acc/loss 0.484/1.538
iteration 2600 | train acc/loss 0.575/1.270 | test acc/loss 0.496/1.553
iteration 2700 | train acc/loss 0.505/1.312 | test acc/loss 0.490/1.514
iteration 2800 | train acc/loss 0.555/1.296 | test acc/loss 0.484/1.546
iteration 2900 | train acc/loss 0.595/1.077 | test acc/loss 0.494/1.529
iteration 3000 | train acc/loss 0.590/1.184 | test acc/loss 0.492/1.557
iteration 3100 | train acc/loss 0.575/1.239 | test acc/loss 0.466/1.613
iteration 3200 | train acc/loss 0.590/1.234 | test acc/loss 0.493/1.557
iteration 3300 | train acc/loss 0.635/1.117 | test acc/loss 0.494/1.555
iteration 3400 | train acc/loss 0.615/1.121 | test acc/loss 0.487/1.581
iteration 3500 | train acc/loss 0.665/0.991 | test acc/loss 0.490/1.581
iteration 3600 | train acc/loss 0.695/0.932 | test acc/loss 0.487/1.617
iteration 3700 | train acc/loss 0.565/1.202 | test acc/loss 0.491/1.595
iteration 3800 | train acc/loss 0.650/0.973 | test acc/loss 0.488/1.655
iteration 3900 | train acc/loss 0.580/1.246 | test acc/loss 0.492/1.611
iteration 4000 | train acc/loss 0.695/0.899 | test acc/loss 0.491/1.574
iteration 4100 | train acc/loss 0.605/1.091 | test acc/loss 0.496/1.574
iteration 4200 | train acc/loss 0.620/1.147 | test acc/loss 0.491/1.630
iteration 4300 | train acc/loss 0.570/1.210 | test acc/loss 0.490/1.594
iteration 4400 | train acc/loss 0.585/1.202 | test acc/loss 0.500/1.584
iteration 4500 | train acc/loss 0.615/1.203 | test acc/loss 0.500/1.615
iteration 4600 | train acc/loss 0.605/1.089 | test acc/loss 0.491/1.652
iteration 4700 | train acc/loss 0.600/0.999 | test acc/loss 0.479/1.622
iteration 4800 | train acc/loss 0.660/0.967 | test acc/loss 0.500/1.597
iteration 4900 | train acc/loss 0.640/1.115 | test acc/loss 0.482/1.651
iteration 5000 | train acc/loss 0.665/0.931 | test acc/loss 0.485/1.639
