max_steps : 5000
dnn_hidden_units : 100,300,300,200
data_dir : ./cifar10/cifar-10-batches-py
batch_size : 200
learning_rate : 0.002
eval_freq : 100
iteration 100 | train acc/loss 0.390/1.790 | test acc/loss 0.369/1.759
iteration 200 | train acc/loss 0.470/1.550 | test acc/loss 0.412/1.664
iteration 300 | train acc/loss 0.445/1.596 | test acc/loss 0.425/1.620
iteration 400 | train acc/loss 0.465/1.480 | test acc/loss 0.438/1.581
iteration 500 | train acc/loss 0.435/1.456 | test acc/loss 0.445/1.569
iteration 600 | train acc/loss 0.530/1.337 | test acc/loss 0.452/1.535
iteration 700 | train acc/loss 0.475/1.446 | test acc/loss 0.464/1.529
iteration 800 | train acc/loss 0.490/1.412 | test acc/loss 0.464/1.519
iteration 900 | train acc/loss 0.535/1.287 | test acc/loss 0.471/1.493
iteration 1000 | train acc/loss 0.575/1.285 | test acc/loss 0.477/1.520
iteration 1100 | train acc/loss 0.495/1.438 | test acc/loss 0.461/1.549
iteration 1200 | train acc/loss 0.495/1.351 | test acc/loss 0.473/1.495
iteration 1300 | train acc/loss 0.585/1.256 | test acc/loss 0.486/1.514
iteration 1400 | train acc/loss 0.515/1.288 | test acc/loss 0.479/1.513
iteration 1500 | train acc/loss 0.500/1.484 | test acc/loss 0.487/1.472
iteration 1600 | train acc/loss 0.575/1.282 | test acc/loss 0.490/1.498
iteration 1700 | train acc/loss 0.600/1.205 | test acc/loss 0.484/1.516
iteration 1800 | train acc/loss 0.635/1.121 | test acc/loss 0.487/1.485
iteration 1900 | train acc/loss 0.525/1.270 | test acc/loss 0.497/1.490
iteration 2000 | train acc/loss 0.610/1.112 | test acc/loss 0.495/1.513
iteration 2100 | train acc/loss 0.615/1.150 | test acc/loss 0.487/1.528
iteration 2200 | train acc/loss 0.660/1.047 | test acc/loss 0.489/1.532
iteration 2300 | train acc/loss 0.515/1.259 | test acc/loss 0.495/1.516
iteration 2400 | train acc/loss 0.630/1.111 | test acc/loss 0.490/1.532
iteration 2500 | train acc/loss 0.615/1.103 | test acc/loss 0.488/1.537
iteration 2600 | train acc/loss 0.610/1.180 | test acc/loss 0.500/1.485
iteration 2700 | train acc/loss 0.530/1.280 | test acc/loss 0.486/1.522
iteration 2800 | train acc/loss 0.570/1.262 | test acc/loss 0.493/1.533
iteration 2900 | train acc/loss 0.665/0.962 | test acc/loss 0.500/1.527
iteration 3000 | train acc/loss 0.635/1.108 | test acc/loss 0.499/1.539
iteration 3100 | train acc/loss 0.605/1.052 | test acc/loss 0.498/1.528
iteration 3200 | train acc/loss 0.630/1.160 | test acc/loss 0.501/1.549
iteration 3300 | train acc/loss 0.665/0.984 | test acc/loss 0.496/1.573
iteration 3400 | train acc/loss 0.660/0.933 | test acc/loss 0.507/1.531
iteration 3500 | train acc/loss 0.660/0.925 | test acc/loss 0.493/1.596
iteration 3600 | train acc/loss 0.670/0.909 | test acc/loss 0.497/1.566
iteration 3700 | train acc/loss 0.635/1.157 | test acc/loss 0.501/1.597
iteration 3800 | train acc/loss 0.655/0.990 | test acc/loss 0.510/1.582
iteration 3900 | train acc/loss 0.650/0.996 | test acc/loss 0.495/1.585
iteration 4000 | train acc/loss 0.720/0.792 | test acc/loss 0.505/1.556
iteration 4100 | train acc/loss 0.700/1.016 | test acc/loss 0.506/1.595
iteration 4200 | train acc/loss 0.605/1.099 | test acc/loss 0.493/1.607
iteration 4300 | train acc/loss 0.650/1.062 | test acc/loss 0.504/1.626
iteration 4400 | train acc/loss 0.675/1.020 | test acc/loss 0.502/1.593
iteration 4500 | train acc/loss 0.660/1.018 | test acc/loss 0.504/1.621
iteration 4600 | train acc/loss 0.685/0.987 | test acc/loss 0.498/1.597
iteration 4700 | train acc/loss 0.650/0.912 | test acc/loss 0.502/1.605
iteration 4800 | train acc/loss 0.665/1.050 | test acc/loss 0.507/1.613
iteration 4900 | train acc/loss 0.685/0.898 | test acc/loss 0.506/1.606
iteration 5000 | train acc/loss 0.710/0.883 | test acc/loss 0.495/1.670
