max_steps : 5000
dnn_hidden_units : 400,300,200,100
batch_size : 200
data_dir : ./cifar10/cifar-10-batches-py
eval_freq : 100
learning_rate : 0.002
iteration 100 | train acc/loss 0.365/1.882 | test acc/loss 0.343/1.833
iteration 200 | train acc/loss 0.430/1.648 | test acc/loss 0.397/1.681
iteration 300 | train acc/loss 0.415/1.684 | test acc/loss 0.425/1.638
iteration 400 | train acc/loss 0.445/1.525 | test acc/loss 0.443/1.574
iteration 500 | train acc/loss 0.470/1.452 | test acc/loss 0.446/1.558
iteration 600 | train acc/loss 0.535/1.291 | test acc/loss 0.460/1.519
iteration 700 | train acc/loss 0.490/1.389 | test acc/loss 0.480/1.494
iteration 800 | train acc/loss 0.540/1.363 | test acc/loss 0.474/1.502
iteration 900 | train acc/loss 0.530/1.307 | test acc/loss 0.484/1.471
iteration 1000 | train acc/loss 0.520/1.346 | test acc/loss 0.470/1.526
iteration 1100 | train acc/loss 0.535/1.352 | test acc/loss 0.479/1.502
iteration 1200 | train acc/loss 0.480/1.341 | test acc/loss 0.483/1.476
iteration 1300 | train acc/loss 0.575/1.253 | test acc/loss 0.491/1.472
iteration 1400 | train acc/loss 0.520/1.320 | test acc/loss 0.496/1.438
iteration 1500 | train acc/loss 0.495/1.424 | test acc/loss 0.496/1.442
iteration 1600 | train acc/loss 0.545/1.203 | test acc/loss 0.504/1.444
iteration 1700 | train acc/loss 0.560/1.198 | test acc/loss 0.499/1.478
iteration 1800 | train acc/loss 0.645/1.081 | test acc/loss 0.510/1.432
iteration 1900 | train acc/loss 0.535/1.224 | test acc/loss 0.509/1.430
iteration 2000 | train acc/loss 0.650/1.145 | test acc/loss 0.509/1.459
iteration 2100 | train acc/loss 0.670/1.048 | test acc/loss 0.504/1.470
iteration 2200 | train acc/loss 0.690/0.978 | test acc/loss 0.511/1.449
iteration 2300 | train acc/loss 0.630/1.076 | test acc/loss 0.514/1.439
iteration 2400 | train acc/loss 0.650/1.084 | test acc/loss 0.514/1.482
iteration 2500 | train acc/loss 0.615/1.074 | test acc/loss 0.495/1.523
iteration 2600 | train acc/loss 0.575/1.196 | test acc/loss 0.516/1.467
iteration 2700 | train acc/loss 0.590/1.218 | test acc/loss 0.513/1.452
iteration 2800 | train acc/loss 0.585/1.221 | test acc/loss 0.519/1.479
iteration 2900 | train acc/loss 0.650/0.959 | test acc/loss 0.526/1.463
iteration 3000 | train acc/loss 0.645/1.035 | test acc/loss 0.516/1.510
iteration 3100 | train acc/loss 0.645/1.042 | test acc/loss 0.510/1.491
iteration 3200 | train acc/loss 0.670/1.023 | test acc/loss 0.518/1.481
iteration 3300 | train acc/loss 0.680/0.997 | test acc/loss 0.529/1.483
iteration 3400 | train acc/loss 0.705/0.857 | test acc/loss 0.515/1.544
iteration 3500 | train acc/loss 0.705/0.848 | test acc/loss 0.522/1.502
iteration 3600 | train acc/loss 0.730/0.851 | test acc/loss 0.525/1.479
iteration 3700 | train acc/loss 0.665/0.995 | test acc/loss 0.523/1.512
iteration 3800 | train acc/loss 0.660/0.895 | test acc/loss 0.526/1.510
iteration 3900 | train acc/loss 0.675/0.946 | test acc/loss 0.524/1.517
iteration 4000 | train acc/loss 0.720/0.790 | test acc/loss 0.525/1.550
iteration 4100 | train acc/loss 0.730/0.950 | test acc/loss 0.519/1.595
iteration 4200 | train acc/loss 0.710/0.893 | test acc/loss 0.523/1.598
iteration 4300 | train acc/loss 0.660/0.986 | test acc/loss 0.515/1.589
iteration 4400 | train acc/loss 0.665/1.055 | test acc/loss 0.520/1.540
iteration 4500 | train acc/loss 0.745/0.889 | test acc/loss 0.538/1.514
iteration 4600 | train acc/loss 0.700/0.969 | test acc/loss 0.528/1.550
iteration 4700 | train acc/loss 0.690/0.808 | test acc/loss 0.533/1.513
iteration 4800 | train acc/loss 0.730/0.814 | test acc/loss 0.533/1.552
iteration 4900 | train acc/loss 0.735/0.830 | test acc/loss 0.524/1.567
iteration 5000 | train acc/loss 0.715/0.754 | test acc/loss 0.526/1.552
