palindrome length:11
[2019-05-03 11:35] Train Step 0000/2000, Batch Size = 128,                 Examples/Sec = 12862.26, Accuracy = 0.09, Loss = 6.532
[2019-05-03 11:35] Train Step 0010/2000, Batch Size = 128,                 Examples/Sec = 20762.28, Accuracy = 0.06, Loss = 2.982
[2019-05-03 11:35] Train Step 0020/2000, Batch Size = 128,                 Examples/Sec = 18842.20, Accuracy = 0.10, Loss = 2.351
[2019-05-03 11:35] Train Step 0030/2000, Batch Size = 128,                 Examples/Sec = 21536.86, Accuracy = 0.12, Loss = 2.351
[2019-05-03 11:35] Train Step 0040/2000, Batch Size = 128,                 Examples/Sec = 21450.81, Accuracy = 0.09, Loss = 2.358
[2019-05-03 11:35] Train Step 0050/2000, Batch Size = 128,                 Examples/Sec = 18113.05, Accuracy = 0.05, Loss = 2.297
[2019-05-03 11:35] Train Step 0060/2000, Batch Size = 128,                 Examples/Sec = 18910.56, Accuracy = 0.24, Loss = 2.201
[2019-05-03 11:35] Train Step 0070/2000, Batch Size = 128,                 Examples/Sec = 18102.67, Accuracy = 0.21, Loss = 1.990
[2019-05-03 11:35] Train Step 0080/2000, Batch Size = 128,                 Examples/Sec = 20260.04, Accuracy = 0.22, Loss = 2.001
[2019-05-03 11:35] Train Step 0090/2000, Batch Size = 128,                 Examples/Sec = 20045.96, Accuracy = 0.38, Loss = 1.568
[2019-05-03 11:35] Train Step 0100/2000, Batch Size = 128,                 Examples/Sec = 18305.12, Accuracy = 0.40, Loss = 1.511
[2019-05-03 11:35] Train Step 0110/2000, Batch Size = 128,                 Examples/Sec = 20024.28, Accuracy = 0.33, Loss = 1.504
[2019-05-03 11:35] Train Step 0120/2000, Batch Size = 128,                 Examples/Sec = 19759.69, Accuracy = 0.35, Loss = 1.552
[2019-05-03 11:35] Train Step 0130/2000, Batch Size = 128,                 Examples/Sec = 22157.28, Accuracy = 0.39, Loss = 1.482
[2019-05-03 11:35] Train Step 0140/2000, Batch Size = 128,                 Examples/Sec = 18271.48, Accuracy = 0.21, Loss = 1.589
[2019-05-03 11:35] Train Step 0150/2000, Batch Size = 128,                 Examples/Sec = 19026.51, Accuracy = 0.45, Loss = 1.226
[2019-05-03 11:35] Train Step 0160/2000, Batch Size = 128,                 Examples/Sec = 17777.77, Accuracy = 0.43, Loss = 1.383
[2019-05-03 11:35] Train Step 0170/2000, Batch Size = 128,                 Examples/Sec = 22949.09, Accuracy = 0.40, Loss = 1.295
[2019-05-03 11:35] Train Step 0180/2000, Batch Size = 128,                 Examples/Sec = 22658.52, Accuracy = 0.51, Loss = 1.224
[2019-05-03 11:35] Train Step 0190/2000, Batch Size = 128,                 Examples/Sec = 20785.59, Accuracy = 0.47, Loss = 1.087
[2019-05-03 11:35] Train Step 0200/2000, Batch Size = 128,                 Examples/Sec = 21872.03, Accuracy = 0.47, Loss = 1.134
[2019-05-03 11:35] Train Step 0210/2000, Batch Size = 128,                 Examples/Sec = 21666.37, Accuracy = 0.61, Loss = 0.980
[2019-05-03 11:35] Train Step 0220/2000, Batch Size = 128,                 Examples/Sec = 17695.15, Accuracy = 0.54, Loss = 1.022
[2019-05-03 11:35] Train Step 0230/2000, Batch Size = 128,                 Examples/Sec = 16561.91, Accuracy = 0.56, Loss = 0.979
[2019-05-03 11:35] Train Step 0240/2000, Batch Size = 128,                 Examples/Sec = 18214.45, Accuracy = 0.66, Loss = 0.914
[2019-05-03 11:35] Train Step 0250/2000, Batch Size = 128,                 Examples/Sec = 22558.55, Accuracy = 0.48, Loss = 1.037
[2019-05-03 11:35] Train Step 0260/2000, Batch Size = 128,                 Examples/Sec = 18488.56, Accuracy = 0.58, Loss = 0.960
[2019-05-03 11:35] Train Step 0270/2000, Batch Size = 128,                 Examples/Sec = 18620.02, Accuracy = 0.66, Loss = 0.792
[2019-05-03 11:35] Train Step 0280/2000, Batch Size = 128,                 Examples/Sec = 18589.71, Accuracy = 0.59, Loss = 0.870
[2019-05-03 11:35] Train Step 0290/2000, Batch Size = 128,                 Examples/Sec = 22407.90, Accuracy = 0.55, Loss = 0.785
[2019-05-03 11:35] Train Step 0300/2000, Batch Size = 128,                 Examples/Sec = 16628.60, Accuracy = 0.87, Loss = 0.623
[2019-05-03 11:35] Train Step 0310/2000, Batch Size = 128,                 Examples/Sec = 17498.48, Accuracy = 0.48, Loss = 0.914
[2019-05-03 11:35] Train Step 0320/2000, Batch Size = 128,                 Examples/Sec = 18274.59, Accuracy = 0.53, Loss = 0.743
[2019-05-03 11:35] Train Step 0330/2000, Batch Size = 128,                 Examples/Sec = 18445.37, Accuracy = 0.63, Loss = 0.764
[2019-05-03 11:35] Train Step 0340/2000, Batch Size = 128,                 Examples/Sec = 18574.92, Accuracy = 0.49, Loss = 0.795
[2019-05-03 11:35] Train Step 0350/2000, Batch Size = 128,                 Examples/Sec = 18859.41, Accuracy = 0.67, Loss = 0.630
[2019-05-03 11:35] Train Step 0360/2000, Batch Size = 128,                 Examples/Sec = 18864.71, Accuracy = 0.70, Loss = 0.628
[2019-05-03 11:35] Train Step 0370/2000, Batch Size = 128,                 Examples/Sec = 17887.95, Accuracy = 0.73, Loss = 0.621
[2019-05-03 11:35] Train Step 0380/2000, Batch Size = 128,                 Examples/Sec = 18614.21, Accuracy = 0.71, Loss = 0.579
[2019-05-03 11:35] Train Step 0390/2000, Batch Size = 128,                 Examples/Sec = 18984.79, Accuracy = 0.65, Loss = 0.616
[2019-05-03 11:35] Train Step 0400/2000, Batch Size = 128,                 Examples/Sec = 19514.06, Accuracy = 0.72, Loss = 0.584
[2019-05-03 11:35] Train Step 0410/2000, Batch Size = 128,                 Examples/Sec = 21357.80, Accuracy = 0.74, Loss = 0.539
[2019-05-03 11:35] Train Step 0420/2000, Batch Size = 128,                 Examples/Sec = 18624.54, Accuracy = 0.62, Loss = 0.577
[2019-05-03 11:35] Train Step 0430/2000, Batch Size = 128,                 Examples/Sec = 18247.26, Accuracy = 0.81, Loss = 0.497
[2019-05-03 11:35] Train Step 0440/2000, Batch Size = 128,                 Examples/Sec = 17750.15, Accuracy = 0.80, Loss = 0.483
[2019-05-03 11:35] Train Step 0450/2000, Batch Size = 128,                 Examples/Sec = 17907.04, Accuracy = 0.79, Loss = 0.461
[2019-05-03 11:35] Train Step 0460/2000, Batch Size = 128,                 Examples/Sec = 20607.67, Accuracy = 0.79, Loss = 0.566
[2019-05-03 11:35] Train Step 0470/2000, Batch Size = 128,                 Examples/Sec = 18700.44, Accuracy = 0.78, Loss = 0.460
